fbf45811e7859f96f5a889a1b0cdd340574c77e8,MODIFY,regular-file,common/dialogflow_framework/programy/text_preprocessing.py,820,1
888aa02f413b570011375efafd1c8b9e67d0ef90,MODIFY,regular-file,common/page_preprocessor.py,6522,1
161699bef5d5713e129596fd585e94a983d80940,MODIFY,regular-file,common/prompts/dream_faq.json,5972,2
cc6e7b8e12cde7e59b8ac75cf9492138c31d1cde,MODIFY,regular-file,services/dialogpt_persona_based/train_script/gpt_persona_v1.ipynb,57666,1024-1025
7e4e5f641c9b1f16ffcc25971de1f7e386bacd18,MODIFY,regular-file,services/text_qa/torch_transformers_squad.py,14700,1
9ee679a46706b77a30333acc01ae9e170de397fc,MODIFY,regular-file,skills/faq_skill_deepy/dp_minimal_demo_dir/faq_config.json,3039,39-40;50-51;66-67;106-107
76696c5657ff926ba7a419d4ef4124d306e2dd9b,MODIFY,regular-file,skills/game_cooperative_skill/utils/programy_extention.py,925,1
af7d13ded0a63b3a3f26e060e152fc30bd12ac63,MODIFY,regular-file,skills/game_cooperative_skill/utils/programy_model.py,1628,1
39d097c37bc6f7642ccb8400d7c5e8ae5d0cf15d,MODIFY,regular-file,skills/short_story_skill/README.md,1732,11
ca99dae01afc4b6a4dfbd6e85ffb1a9c2af07157,MODIFY,regular-file,skills/topicalchat_tfidf_retrieval/Dockerfile,820,8;15
d3a9ff6299da9946adbc34e8b03879d81e528c0c,MODIFY,regular-file,unused_skills.yml,4466,89
